=== HQ RECOMPRESS SUMMARY ===
변환 성공: 283
원본 못 찾음: 0
동명이인/모호함: 0
변환 오류: 0
대상 설정: HERO + STILL / max 2800px / WebP q95
입력 용량 합계: 1230.4 MB
출력 용량 합계: 68.7 MB

=== DETAILS ===
OK | myname-still-02.png -> myname-still-02.webp | 3598x2024 -> 2800x1575 | 2379KB -> 177KB | match=exact-relative
OK | festival-hero.png -> festival-hero.webp | 3600x2014 -> 2800x1566 | 9137KB -> 419KB | match=exact-relative
OK | independence-diary-still-09.png -> independence-diary-still-09.webp | 3600x2018 -> 2800x1570 | 6163KB -> 301KB | match=exact-relative
OK | festival-still-05.png -> festival-still-05.webp | 3600x2014 -> 2800x1566 | 9909KB -> 596KB | match=exact-relative
OK | sara-still-20.png -> sara-still-20.webp | 3600x1676 -> 2800x1304 | 4552KB -> 238KB | match=exact-relative
OK | sara-still-08.png -> sara-still-08.webp | 3600x1676 -> 2800x1304 | 4007KB -> 141KB | match=exact-relative
OK | alien-still-23.png -> alien-still-23.webp | 3600x1532 -> 2800x1192 | 6887KB -> 288KB | match=exact-relative
OK | gang-still-23.jpg -> gang-still-23.webp | 3840x2160 -> 2800x1575 | 2629KB -> 220KB | match=exact-relative
OK | whale-still-09.png -> whale-still-09.webp | 3600x1532 -> 2800x1192 | 3122KB -> 192KB | match=exact-relative
OK | buriburi-still-21.png -> buriburi-still-21.webp | 1920x1080 -> 1920x1080 | 6086KB -> 178KB | match=exact-relative
OK | from-yerim-still-03.png -> from-yerim-still-03.webp | 3598x1620 -> 2800x1261 | 2740KB -> 186KB | match=exact-relative
OK | from-yerim-still-02.png -> from-yerim-still-02.webp | 3598x2024 -> 2800x1575 | 2863KB -> 195KB | match=exact-relative
OK | buriburi-still-20.png -> buriburi-still-20.webp | 1920x1080 -> 1920x1080 | 6086KB -> 372KB | match=exact-relative
OK | whale-still-08.png -> whale-still-08.webp | 3600x1532 -> 2800x1192 | 4908KB -> 212KB | match=exact-relative
OK | gang-still-22.jpg -> gang-still-22.webp | 3840x2160 -> 2800x1575 | 2492KB -> 300KB | match=exact-relative
OK | alien-still-22.png -> alien-still-22.webp | 3600x1532 -> 2800x1192 | 4623KB -> 162KB | match=exact-relative
OK | sara-still-09.png -> sara-still-09.webp | 3600x1676 -> 2800x1304 | 5519KB -> 348KB | match=exact-relative
OK | sara-still-21.png -> sara-still-21.webp | 3600x1676 -> 2800x1304 | 5540KB -> 242KB | match=exact-relative
OK | festival-still-04.png -> festival-still-04.webp | 3600x2014 -> 2800x1566 | 8839KB -> 373KB | match=exact-relative
OK | independence-diary-still-08.png -> independence-diary-still-08.webp | 3600x2018 -> 2800x1570 | 7709KB -> 331KB | match=exact-relative
OK | myname-still-03.png -> myname-still-03.webp | 3598x2024 -> 2800x1575 | 2244KB -> 164KB | match=exact-relative
OK | whale-hero.png -> whale-hero.webp | 3600x1532 -> 2800x1192 | 3534KB -> 151KB | match=exact-relative
OK | myname-still-01.png -> myname-still-01.webp | 3598x2024 -> 2800x1575 | 2765KB -> 181KB | match=exact-relative
OK | festival-still-06.png -> festival-still-06.webp | 3600x2014 -> 2800x1566 | 6502KB -> 284KB | match=exact-relative
OK | sara-still-23.png -> sara-still-23.webp | 3600x1676 -> 2800x1304 | 5550KB -> 237KB | match=exact-relative
OK | alien-still-08.png -> alien-still-08.webp | 3600x1532 -> 2800x1192 | 6099KB -> 248KB | match=exact-relative
