=== IMAGE SUMMARY ===
변환: 325
그대로 복사: 0
변환 실패 후 복사: 0
원본 합계: 1369.8 MB
웹 합계: 17.2 MB
절감률: 98.7%

CONVERT | assets/myname-still-02.png -> assets/myname-still-02.webp | 2379KB -> 37KB | 98.4% 절감 | 1600px / q82
CONVERT | assets/광주시-민선8기-출범-3주년-기념행사-thumb.jpg -> assets/gwangjusi-minseon8gi-culbeom-3junyeon-ginyeomhaengsa-thumb.webp | 84KB -> 26KB | 69.6% 절감 | 960px / q80
CONVERT | assets/festival-hero.png -> assets/festival-hero.webp | 9137KB -> 113KB | 98.8% 절감 | 1920px / q84
CONVERT | assets/romance-literacy-thumb.png -> assets/romance-literacy-thumb.webp | 9777KB -> 74KB | 99.2% 절감 | 960px / q80
CONVERT | assets/independence-diary-still-09.png -> assets/independence-diary-still-09.webp | 6163KB -> 53KB | 99.1% 절감 | 1600px / q82
CONVERT | assets/festival-still-05.png -> assets/festival-still-05.webp | 9909KB -> 130KB | 98.7% 절감 | 1600px / q82
CONVERT | assets/sara-still-20.png -> assets/sara-still-20.webp | 4552KB -> 55KB | 98.8% 절감 | 1600px / q82
CONVERT | assets/sara-still-08.png -> assets/sara-still-08.webp | 4007KB -> 26KB | 99.3% 절감 | 1600px / q82
CONVERT | assets/alien-still-23.png -> assets/alien-still-23.webp | 6887KB -> 60KB | 99.1% 절감 | 1600px / q82
CONVERT | assets/gang-still-23.jpg -> assets/gang-still-23.webp | 2629KB -> 25KB | 99.1% 절감 | 1600px / q82
CONVERT | assets/daisy.png -> assets/daisy.webp | 650KB -> 10KB | 98.4% 절감 | 1600px / q82
CONVERT | assets/whale-still-09.png -> assets/whale-still-09.webp | 3122KB -> 40KB | 98.7% 절감 | 1600px / q82
CONVERT | assets/buriburi-still-21.png -> assets/buriburi-still-21.webp | 6086KB -> 31KB | 99.5% 절감 | 1600px / q82
CONVERT | assets/from-yerim-still-03.png -> assets/from-yerim-still-03.webp | 2740KB -> 37KB | 98.7% 절감 | 1600px / q82
CONVERT | assets/from-yerim-still-02.png -> assets/from-yerim-still-02.webp | 2863KB -> 35KB | 98.8% 절감 | 1600px / q82
CONVERT | assets/buriburi-still-20.png -> assets/buriburi-still-20.webp | 6086KB -> 110KB | 98.2% 절감 | 1600px / q82
